,t_winter,t_spring,t_summer,t_fall,p_winter,p_spring,p_summer,p_fall
0,14.824035,17.427137,22.982649,20.903902,1.5166137,0.8074364,0.08836947,0.43191224
1,12.745162,15.781592,22.553734,19.487816,1.8681208,1.022557,0.12853824,0.6315311
2,14.882929,17.550373,23.228746,21.078272,1.5328087,0.79398924,0.08265046,0.45860314
3,13.804024,17.090807,24.549194,20.9825,1.8662064,1.034788,0.1244526,0.64377385
4,11.595253,15.43124,24.037008,19.382092,2.072701,1.1320662,0.19381481,0.7082457
5,10.35035,14.101209,22.958624,18.066753,2.0216393,1.075535,0.33038834,0.8180051
6,10.084738,13.745519,22.802656,17.737581,2.081531,1.122635,0.3807595,0.8351497
7,9.131349,12.857473,21.963303,16.891079,1.7707622,0.93851787,0.40324804,0.7448542
8,10.600192,14.37796,23.524986,18.45168,1.2210138,0.5490147,0.37932688,0.5368384
9,12.945069,17.000782,26.381834,20.996475,0.63863957,0.22279091,0.29757407,0.34587803
10,15.538314,20.02637,29.629581,23.879639,0.26508147,0.051398315,0.20301805,0.16824152
11,16.469059,21.234388,31.038998,25.002472,0.22496277,0.046983384,0.18201376,0.17670032
12,17.166607,24.735647,35.766247,27.58754,0.22426504,0.06498252,0.19043411,0.21782395
13,14.76152,17.797821,25.544056,22.072617,1.8906168,1.0368701,0.12552649,0.72855765
14,12.009621,15.3273,23.530533,19.559523,2.252028,1.255766,0.28596306,0.8889156
15,9.176421,12.922745,21.96521,17.035698,2.7531228,1.5391116,0.41285256,1.1241285
16,7.023991,10.856078,20.085546,14.947935,2.7767558,1.5310895,0.5134771,1.1672978
17,9.269599,13.1943035,22.594639,17.258204,1.5470622,0.7913813,0.44761178,0.6730587
18,13.896508,18.15953,27.840963,22.129576,0.41574228,0.11414456,0.26291335,0.26515284
19,15.043583,19.657854,29.411587,23.476412,0.34809417,0.069576256,0.2394925,0.23701097
20,16.219357,20.94271,30.74348,24.737513,0.23722246,0.050827693,0.20398393,0.16876763
21,16.80853,21.75167,31.672504,25.486217,0.20415068,0.04493564,0.17414932,0.16627517
22,17.291607,25.33337,36.590492,28.060843,0.22685237,0.07227634,0.21791136,0.21909986
23,17.200716,25.224754,36.46073,27.990322,0.22985478,0.082194366,0.2559811,0.22219646
24,17.040157,25.049545,36.26677,27.846073,0.24346645,0.08488042,0.2662081,0.21778736
25,16.7985,24.845467,36.049133,27.63769,0.24393582,0.08610262,0.27108514,0.23187661
26,15.743777,23.602955,34.51467,26.5466,0.21768475,0.067170836,0.28325346,0.23044156
27,16.269886,24.350376,35.31887,27.167147,0.20957185,0.06780056,0.2927121,0.24385992
28,14.957342,18.113089,24.899801,21.787828,1.594926,0.8125807,0.066946164,0.59763527
29,14.378247,17.505878,24.98154,21.586948,1.7415205,0.9425565,0.09084384,0.64847964
30,13.822749,16.879568,24.444782,21.140503,1.9414766,1.05458,0.15363611,0.7554566
31,12.203188,15.752124,24.720692,20.013454,2.4358933,1.3553318,0.3308472,1.0123954
32,7.755624,11.879215,21.884663,16.025707,3.1259077,1.7684401,0.45131588,1.3906977
33,9.691913,13.916007,23.940704,18.046555,1.7343583,0.86309636,0.4238257,0.77103716
34,12.996818,17.600967,27.675406,21.526495,0.6664727,0.20796673,0.28419375,0.33995548
35,15.057455,19.810564,29.859941,23.66454,0.33006555,0.08180948,0.21437317,0.21712412
36,15.45616,20.292427,30.32901,24.111414,0.2846387,0.067341015,0.22456862,0.1999871
37,16.399164,21.274689,31.298279,25.081787,0.24205515,0.053752024,0.19136155,0.17730393
38,16.782402,21.842083,31.970951,25.579464,0.2221294,0.051386066,0.17801961,0.1829897
39,17.285074,23.246746,33.75605,26.71454,0.20559405,0.058981434,0.16924943,0.20904928
40,17.150875,25.242325,36.517174,27.96038,0.22515488,0.07761471,0.22593787,0.21822241
41,16.857998,24.927692,36.180916,27.684069,0.25096834,0.082494505,0.27357158,0.22480564
42,16.653889,24.69983,35.9318,27.492985,0.25424466,0.08543722,0.2743004,0.2490848
43,16.145878,24.224297,35.44558,27.006268,0.2841081,0.08714301,0.29348034,0.28409594
44,15.471969,23.449797,34.488262,26.328054,0.26091024,0.07804074,0.28245315,0.2845785
45,15.715391,23.822666,34.85131,26.63294,0.23623835,0.07635271,0.30746374,0.27946234
46,13.769006,16.943714,24.65717,20.92502,1.8441488,0.9917021,0.11760831,0.6726512
47,12.902546,16.043217,24.380344,20.296486,1.8812381,1.023595,0.13864625,0.7490005
48,11.161621,14.723284,24.47258,19.081886,2.5510154,1.3977519,0.34017587,1.1002977
49,9.078328,13.204152,23.399284,17.406118,2.157319,1.1462138,0.4440856,0.9915597
50,11.263967,16.0678,26.393993,19.994875,1.0598187,0.45675832,0.38457415,0.47621283
51,11.291602,16.546635,26.90524,20.275455,0.98278975,0.3778595,0.3253354,0.44646183
52,13.377237,18.7243,29.037086,22.380169,0.48510498,0.1480317,0.22874485,0.26897117
53,16.546139,21.867931,32.135796,25.524448,0.21408413,0.05293464,0.16360457,0.16805904
54,17.196108,22.599398,32.89901,26.235397,0.19718614,0.061587177,0.1495945,0.1658068
55,17.290276,23.282099,33.92192,26.728645,0.20734383,0.051015887,0.14832729,0.18350369
56,17.296303,25.430801,36.76626,28.149765,0.21324237,0.073718406,0.23006888,0.2193492
57,16.681807,24.859482,36.160984,27.517685,0.24542634,0.07706745,0.24130121,0.22284289
58,16.206814,24.396664,35.68151,27.067638,0.27011886,0.08109832,0.2977585,0.25739446
59,15.564584,23.784544,35.058235,26.46593,0.28658324,0.08374705,0.30193657,0.29139638
60,15.327155,23.587925,34.851128,26.243351,0.28457755,0.09199038,0.2933307,0.31562662
61,16.00676,24.06154,35.13592,26.892775,0.23403227,0.078160845,0.2882525,0.2635513
62,13.931986,17.229969,24.219767,20.827545,1.9196748,0.89052933,0.10078062,0.6555492
63,12.656031,16.230917,24.332,20.081589,1.9588978,0.9999562,0.16328765,0.76041436
64,10.559576,14.56143,24.020435,18.569437,2.3342214,1.1951013,0.26301965,0.91539145
65,9.513353,13.569808,23.34134,17.665916,2.328293,1.2142478,0.42137167,0.9753263
66,9.273664,13.8800535,24.089603,17.907028,1.4563662,0.7189259,0.45554274,0.6575091
