,t_winter,t_spring,t_summer,t_fall,p_winter,p_spring,p_summer,p_fall
0,14.708805,17.332132,22.785603,20.693947,1.8141428,0.9187488,0.07874841,0.41598374
1,12.633634,15.689368,22.359982,19.27798,2.2087157,1.1552272,0.113971904,0.61811024
2,14.772266,17.454988,23.031343,20.869528,1.8420521,0.9140476,0.07262453,0.44072774
3,13.69815,16.998058,24.35521,20.77422,2.2213144,1.1831596,0.10984129,0.6292042
4,11.494166,15.341123,23.846458,19.17428,2.4653912,1.2861916,0.1671904,0.6937202
5,10.254051,14.013725,22.771496,17.859407,2.4008064,1.2188454,0.28188968,0.8105552
6,9.9903,13.657726,22.617224,17.52752,2.479893,1.2758061,0.32434645,0.82737267
7,9.03584,12.766424,21.777847,16.675125,2.1294916,1.0782065,0.34889445,0.7449934
8,10.503614,14.283655,23.339499,18.229828,1.485623,0.6424344,0.3286616,0.5451822
9,12.847422,16.903221,26.196318,20.768734,0.78907067,0.26168418,0.25806212,0.36105636
10,15.439598,19.925554,29.444035,23.646008,0.3341235,0.062272605,0.17552766,0.18249902
11,16.369274,21.13032,30.853422,24.762941,0.28590596,0.057220917,0.15714277,0.19427732
12,17.05364,24.596619,35.57353,27.310808,0.2905261,0.07966116,0.16991785,0.24099803
13,14.661302,17.704542,25.34985,21.865892,2.264759,1.1992233,0.10883315,0.71448386
14,11.915278,15.236506,23.339876,19.35361,2.6979308,1.447554,0.24405901,0.8749917
15,9.087954,12.834437,21.778101,16.830591,3.2962906,1.7650471,0.35022587,1.1119422
16,6.9381948,10.767528,19.900295,14.740472,3.3395371,1.7611961,0.43636295,1.1579456
17,9.183269,13.1027775,22.409557,17.045216,1.8831598,0.92426413,0.38354477,0.6803453
18,13.809645,18.065025,27.656048,21.91106,0.5142714,0.13741888,0.23010488,0.29046243
19,14.956185,19.560375,29.22684,23.25237,0.43575203,0.08344774,0.20827502,0.2581853
20,16.131424,20.84226,30.5589,24.507948,0.30395448,0.06268759,0.17613988,0.18414696
21,16.720062,21.648243,31.488098,25.251123,0.26258278,0.05574329,0.15280846,0.18217258
22,17.18949,25.19518,36.39699,27.788517,0.29849446,0.087645605,0.19376072,0.24398914
23,17.093674,25.075638,36.263428,27.70863,0.30272493,0.10101288,0.22905663,0.24638169
24,16.928185,24.8895,36.06566,27.555012,0.32170865,0.104694895,0.23972891,0.23790471
25,16.6816,24.674484,35.844227,27.337257,0.32274628,0.10630542,0.24418837,0.2539724
26,15.621951,23.421043,34.305958,26.236807,0.29047304,0.08181696,0.24750565,0.25167528
27,16.143133,24.157541,35.106358,26.847984,0.27848843,0.08257247,0.25698793,0.26550463
28,14.848851,18.014612,24.698029,21.580353,1.9263879,0.95665133,0.0592447,0.5838786
29,14.276719,17.409733,24.783438,21.380623,2.0996213,1.1075635,0.07967785,0.6354078
30,13.728187,16.78576,24.250349,20.935333,2.3431883,1.2350469,0.13266811,0.7425326
31,12.115587,15.660654,24.529926,19.809437,2.9426136,1.5810108,0.28219834,0.9980719
32,7.674989,11.790083,21.697567,15.822844,3.7789974,2.054269,0.38281894,1.3782052
33,9.614759,13.826696,23.755629,17.841686,2.112427,1.0054692,0.35798594,0.7727037
34,12.919665,17.508959,27.490694,21.316475,0.82368547,0.24834114,0.24326038,0.35701755
