,t_winter,t_spring,t_summer,t_fall,p_winter,p_spring,p_summer,p_fall
0,17.226711,19.561003,24.960266,23.3215,2.4428093,0.809394,0.11239706,0.37295583
1,15.173242,17.943087,24.557072,21.95642,2.9733691,1.0197526,0.1537947,0.56353927
2,17.300037,19.709894,25.228525,23.525694,2.5313377,0.8085018,0.10610673,0.39379904
3,16.248014,19.278214,26.576855,23.480362,3.0485942,1.0493526,0.15000327,0.56972283
4,14.066125,17.646534,26.092552,21.930393,3.3689334,1.1441783,0.2318867,0.62652445
5,12.848101,16.344387,25.04205,20.665491,3.2597446,1.0917425,0.39084774,0.73900664
6,12.600155,16.010609,24.912848,20.370918,3.3830686,1.1464014,0.44177613,0.75384885
7,11.655219,15.1385,24.099134,19.543179,2.9444957,0.97023916,0.4738489,0.68029815
8,13.132516,16.674923,25.686459,21.122538,2.077194,0.58297044,0.44417605,0.50411
9,15.485844,19.31368,28.56895,23.686096,1.1053383,0.23524594,0.34702298,0.34474212
10,18.087542,22.355206,31.842339,26.588022,0.4666455,0.056908403,0.23089112,0.17925826
11,19.02674,23.579163,33.277397,27.729614,0.4034433,0.052137047,0.20575434,0.18960758
12,19.742361,27.11231,38.10099,30.367317,0.41657653,0.06985619,0.218098,0.23556015
13,17.22142,20.011143,27.596039,24.599735,3.1621046,1.0672061,0.15373467,0.64559203
14,14.497877,17.568766,25.61256,22.136509,3.747304,1.2964162,0.34504822,0.78863883
15,11.693035,15.192356,24.077282,19.662552,4.554768,1.5869842,0.48718604,1.0055292
16,9.559007,13.147249,22.224796,17.608536,4.6390553,1.5886207,0.60493404,1.0461028
17,11.813061,15.500448,24.75821,19.936422,2.6545794,0.83901024,0.53164196,0.62464476
18,16.448416,20.480648,30.02885,24.82541,0.7257147,0.12725462,0.31120887,0.28984407
19,17.603937,21.99394,31.623795,26.189863,0.61960614,0.07587398,0.28253278,0.25413218
20,18.788158,23.293772,32.980007,27.468584,0.43291187,0.05778614,0.2353849,0.17934993
21,19.38578,24.117702,33.933346,28.234901,0.37940574,0.05121103,0.20184058,0.17680141
22,19.883177,27.726158,38.939327,30.85877,0.43827587,0.07576984,0.25315598,0.23655006
23,19.789568,27.613277,38.820446,30.790329,0.44135144,0.08776517,0.29778653,0.23791891
24,19.62629,27.433794,38.63736,30.648153,0.46502495,0.09080957,0.3103205,0.22941563
25,19.381914,27.225445,38.430607,30.441845,0.4630864,0.09171044,0.31470928,0.24400498
26,18.32447,25.978662,36.907024,29.352839,0.41099253,0.06861551,0.31416744,0.24116379
27,18.847864,26.721813,37.722107,29.975462,0.3936803,0.068415016,0.32508564,0.2572837
28,17.373484,20.295517,26.911694,24.245604,2.7559342,0.84394014,0.08787855,0.5203768
29,16.824223,19.71671,27.025639,24.09402,2.9974594,0.98427606,0.11241559,0.5704483
30,16.298561,19.118805,26.521084,23.696877,3.3316019,1.1041191,0.1924288,0.6667914
31,14.70883,18.019766,26.8292,22.61913,4.157534,1.4207664,0.40315932,0.8949645
32,10.291101,14.17526,24.02538,18.680685,5.3096724,1.8548484,0.5436371,1.2363988
33,12.246526,16.23326,26.109016,20.734419,2.9870756,0.91038245,0.507285,0.69774854
34,15.559872,19.932228,29.866713,24.230837,1.1769328,0.22807005,0.33809084,0.33551365
35,17.62895,22.155832,32.074245,26.385351,0.5948888,0.09068956,0.25339064,0.22810622
36,18.036095,22.651703,32.566307,26.848698,0.5246141,0.074615195,0.26698142,0.21421303
37,18.987543,23.647972,33.55857,27.835548,0.45720866,0.06255232,0.22412413,0.18998693
38,19.379221,24.229374,34.25423,28.349695,0.42867345,0.06038973,0.21140473,0.19838472
39,19.890333,25.648048,36.06233,29.501245,0.40550888,0.065675594,0.20196661,0.22567728
40,19.758255,27.651241,38.8801,30.776453,0.45194346,0.08447557,0.263818,0.23562354
41,19.461164,27.331245,38.552708,30.502003,0.50081336,0.08984498,0.32166776,0.24051265
42,19.25284,27.098019,38.312454,30.312784,0.50410163,0.09280622,0.32113102,0.26748726
43,18.740616,26.617126,37.835094,29.827929,0.5596637,0.09394002,0.33970267,0.3009386
44,18.06249,25.837267,36.886635,29.15158,0.5107282,0.08211785,0.320973,0.30703056
45,18.3017,26.204775,37.258553,29.458328,0.4593275,0.07893126,0.34247762,0.29947573
46,16.229414,19.180202,26.723429,23.46192,3.2499564,1.0456396,0.1557801,0.5899268
47,15.394266,18.308367,26.480965,22.882118,3.311227,1.0795778,0.17362772,0.6548472
48,13.684649,17.017097,26.607573,21.71625,4.476438,1.4800422,0.42422652,0.9850192
49,11.632668,15.526628,25.568642,20.089214,3.7762966,1.2161506,0.5457262,0.897072
50,13.838179,18.411133,28.59137,22.710003,1.8877398,0.49121428,0.46188915,0.4446953
51,13.8742485,18.903011,29.124285,23.005913,1.7911336,0.41186133,0.38918835,0.41399145
52,15.968319,21.093721,31.277802,25.125957,0.90720403,0.16421127,0.27240035,0.2608098
53,19.145655,24.250397,34.398182,28.285566,0.40782973,0.058717642,0.19253975,0.17895526
54,19.804058,24.994905,35.183067,29.011845,0.38529515,0.06937851,0.17696369,0.17466594
55,19.90666,25.690649,36.227654,29.52042,0.41361302,0.061696608,0.17586656,0.1920865
56,19.925209,27.862288,39.13643,30.982336,0.44800887,0.08263191,0.27052414,0.23062094
57,19.305002,27.284515,38.538006,30.351906,0.51174456,0.08576171,0.28487936,0.24090342
58,18.824295,26.815247,38.065372,29.90351,0.55930114,0.08982848,0.35263965,0.27396992
59,18.176355,26.196678,37.448944,29.303448,0.5891062,0.09193139,0.3554071,0.31324416
60,17.933218,25.993607,37.248688,29.08252,0.5809773,0.10095216,0.3411524,0.3401783
61,18.607111,26.460772,37.54032,29.733587,0.4748205,0.083264604,0.32764906,0.2795664
62,16.374043,19.463188,26.271662,23.346106,3.4642403,0.9506078,0.13651311,0.57211447
63,15.130873,18.49306,26.420422,22.648312,3.5312963,1.0740805,0.21234596,0.6618148
64,13.067204,16.852495,26.145382,21.184326,4.199952,1.2878841,0.33739692,0.7923625
65,12.05377,15.889795,25.502811,20.328968,4.19329,1.2997991,0.53168964,0.8641671
66,11.846868,16.228966,26.287605,20.618244,2.625178,0.7712066,0.5620645,0.58570635
67,14.389363,20.272907,30.716352,24.087418,1.6025867,0.3671048,0.45739698,0.3659962
68,18.129623,24.154257,34.55169,27.850424,0.71623147,0.106104106,0.28394407,0.22060125
69,18.83632,24.518341,34.837994,28.353498,0.43487087,0.05902958,0.16199373,0.16572079
70,19.404482,24.97049,35.29883,28.860867,0.3507362,0.054628927,0.16444403,0.15377872
71,19.816109,25.857443,36.4234,29.56854,0.36310488,0.0668485,0.17547262,0.16852532
72,19.182306,27.190847,38.494373,30.273396,0.5205516,0.0965427,0.2953236,0.25054818
73,18.04965,26.112467,37.423042,29.182793,0.64282006,0.09567614,0.38675678,0.3092699
