Unnamed: 0,latitude,longitude,t_winter,t_spring,t_summer,t_fall,p_winter,p_spring,p_summer,p_fall,carb,veg
2187,41.6875,238.6875,1.5391265,8.650959,18.98306,10.658458,1.2483089,0.88957524,0.5176118,0.64385915,2.8900990353525478,1.0
1233,37.5625,238.1875,9.008643,13.911421,20.400326,16.365484,2.798464,1.0983295,0.06238912,0.75574017,16.413225167579306,1.0
385,34.5625,244.4375,14.683717,22.891003,34.02253,24.762705,0.25558624,0.11058106,0.18397501,0.22456756,0.3316706436830974,1.0
480,34.8125,244.1875,10.954981,19.06112,30.335522,21.036655,0.6149887,0.31061167,0.45535317,0.48218134,0.3077560488182869,1.0
953,36.3125,242.3125,3.7446575,12.439141,23.7236,14.148498,1.0424714,0.46523973,0.3041103,0.43621945,0.3016520451998529,1.0
1025,36.5625,243.3125,6.700796,15.417077,26.810366,16.877535,0.48926106,0.27593523,0.17340739,0.2719968,0.3114479022964687,1.0
1578,39.3125,237.3125,2.7985756,8.894389,18.769672,11.409874,5.3292403,1.7297888,0.1553006,1.1475999,44.44702221345218,1.0
1703,39.9375,236.5625,5.6034026,10.934063,19.00432,12.896766,10.086056,3.947124,0.34826872,2.6818588,32.963139649918084,1.0
2251,41.9375,239.0625,0.3425159,7.3608675,17.675007,9.287563,1.6370924,1.1034932,0.74621445,0.6792204,8.425775158735794,1.0
1994,40.9375,239.1875,-1.6385934,5.893275,16.177977,7.7149324,2.0504396,1.4498899,0.74169,0.95103186,21.93928503501867,2.0
2250,41.9375,238.9375,0.7702099,7.7994876,17.938372,9.639622,1.4349945,0.9688274,0.7340897,0.60914326,1.0640177832719349,1.0
2023,41.0625,238.8125,0.7530596,8.09248,18.006268,9.813992,2.3322935,1.2531143,0.6269159,0.90097505,20.89908404101225,2.0
259,34.1875,245.0625,13.586179,22.786076,34.036385,24.239288,0.3373297,0.12471829,0.22802626,0.28023964,0.3107057669766652,1.0
